Price,Age,Engine_Durability,Model_Honda/Volvo/Ford,Model_Isuzu/MG,Model_Jeep/Skoda,Model_Kia/Audi/Maz/Mini/Suz/Land/VW,Model_LDV/GWM,Model_Lexus/BMW,Model_Mit/Hyun/Benz/Ren/Nis/Sub/Toy,Body_Coupe/Convertible,Body_Hatchback,Body_Sedan,Body_Wagon,Transmission_Manual,Drive_AWD,Drive_Rear,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Unleaded
13950.0,11,106.3142857142857,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23999.0,5,82.68888888888887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24240.0,1,106.3142857142857,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
8650.0,16,132.49599999999998,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
28988.0,3,80.65599999999999,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
27990.0,8,2.4200000000000004,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
27888.0,10,164.025,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
25990.0,9,67.65454545454544,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19490.0,7,74.41999999999999,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
13990.0,11,55.73571428571429,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20888.0,8,100.82,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
25990.0,4,74.41999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13498.0,12,170.01666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18950.0,12,113.34444444444443,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
8888.0,14,131.22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20888.0,5,74.41999999999999,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
29990.0,8,33.62,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29990.0,8,100.82,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24990.0,4,148.83999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26990.0,1,106.3142857142857,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
13990.0,10,103.36111111111109,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
12950.0,10,116.28124999999997,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
26411.0,5,74.41999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8850.0,16,259.21000000000004,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
24990.0,5,41.616,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13990.0,10,100.82,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
